Fecha;Numero_Factura;Cantidad;SPV;Averia;Referencia
2022-03-10;08-N/22-00676;1;22011;llegó roto;BN 6013
2022-03-14;;1;C22036;SN 300132AU30000016Al activar la salida de energía el sai, se apaga y salta el diferencial de dónde está enchufado;PH 9230
2022-03-14;;1;C22037;SN 242104510544 No mantiene la carga.;PH 9464
2022-03-16;08-N/21-01769;1;B22017;no enciende;NA 8290
2022-03-17;;1;C22038;SN 3200419Z30000381No aguanta cuando se va la luz.;PH 7266
2022-03-21;08-N/21-01870;1;B22018;Al conectar ordenador el cable del ratón al ordenador, este se reinicia o no responde a los comandos del ratón. El teclado y el monitor funcionan correctamente.;CS22U
2022-03-21;08-N/21-02943;1;B22019;HA DEJADO DE FUNCIONAR. EL PC NO LO RECONOCE;HDP 2011
2022-03-22;08-N/21-01884;1;B22021;El tester aleatoriamente, e incluso habiendo cambiado las baterías,baja la intensidad del sonido de la sonda,incluso a veces ni suena, cuando detecta el extremo del cable;LB 0256
2022-03-23;;1;C22039;SN 242104510593 No enciende;PH 9464
2022-03-23;08-N/21-00892;1;B22016;dañado;GB 3821
2022-03-23;08-N/21-02827;1;B22016;falla;GB 7865
2022-03-23;08-N/22-00735;1;B22022;no le funciona, y tiene varios iguales, cambio todos los cables.;SN3101
2022-03-23;;1;B22023;LA CENTRAL NO GUARDA LOS DATOS DE CONFIGURACION DE LA SIM, ademas daña la tarjetas sim, y hay que cambiarlas cada poco;AJ 0022
2022-03-24;;1;C22040;Esta en line y no para de pitar. Error 59 batería desconectada. Le saco uno nuevo de la ficha de phasak. Luego pasaremos a recoger el averiado. Está montado en una gasolinera y no puede quedar sin servicio.;PH 9220
2022-03-25;;1;C22041;SN 441912515890NO AGUANTA CUANDO NO HAY CORRIENTE.;PH 9410
2022-03-25;;1;C22042;SN 3001309X30000039Codigo de fall 1.;PH 9210
2022-03-25;;1;C22043;SN 441911505490 Despues de varios meses conectado hemos tenido un promer corte de luz y el sai no ha funcionado. A la vista de esto hemos hecho varias preuba y tampoco ha funcionado.;PH 9410
2022-03-25;03-N/20-00384;1;B22016;falla;SBV 1000
2022-03-28;;1;C22044;SN 2420122510330No carga;PH 9406
2022-03-29;;1;C22045;SN 3001320Z30000067parentemente funciona bien el tema  de carga y descarga de baterias, pero según el electricista que lo comprobó esta sacando tensión por la clavija de tierra, lo que hace que la maquina que esta conectada a la salida del Sai queme las placas.;PH 9230
2022-03-30;;1;C22046;SN 342104504335No enciende siquiera.;PH 9408
2022-04-04;;1;C22047;SN 300132AS30000014El equipo ha estado funcionando unos 4 meses sin problemas y dejó de dar corriente 220v con el sonido de alarma y la pantalla bloqueada.;PH 9230
2022-04-05;;1;C22048;SN 3421015067941;PH 9408
2022-04-06;;1;C22048;SN 342108506373. No mantiene cuando se va la luz.;PH 9408
2022-04-06;;1;C22048;SN 242104511066 No mantiene cuando se va la luz.;PH 9465
2022-04-11;08-N/20-02048;1;B22024;battery fault, cambiar baterias y probar que va bien el sai ,para devolverlo al cliente, al estar en garantia, se ponen baterias bat 209    nº serie 84321809100002;PH 9280
2022-04-12;;1;C22049;SN 3200410Z30000341pita todo el rato y tamibne cuando se queda sin batería.;PH 7266
2022-04-21;08-N/22-00889;1;B22026;no funciona, no hace nada;CAM 964
2022-04-26;;1;C22050;SN 3001320S3000009Conectado a tensión, al poner una carga y encender, da error 8. Si, con la carga conectada, se enciende desde baterías, no da erro y funiona correctamente.;PH 9230
2022-04-26;;1;C22051;sn 320041AN30000073Tras el corte de tensión se apaga solo.;PH 7266
2022-04-26;08-N/22-00581;1;B22027;no valen para esta caja nas el modulo usb de control;PH 7315
2022-04-27;;1;C22052;SN 3200549V30000035No enciende.;PH 7621
2022-04-28;08-N/22-01143;1;B22028;falla este cable, ademas la caja venia abierta;SB 9022
2022-05-04;;1;C22053;SN 342112501020No enciende;PH 9408
2022-05-05;08-N/20-01119;1;C22054;No es accesible ni aparce en la red;CAM 916
2022-05-09;;1;C22055;SN 83322005100515No aguanta.;PH 9330
2022-05-10;08-N/22-00568;1;B22029;no funciona, no deja formatear ni nada, ni explorar secundario;KG 4040
2022-05-10;;1;C22056;SN 741812502079Fallo de baterías.;PH 9420
2022-05-12;;1;C22057;SN 83222112103391Salta el diferencial de la instalación al encenderlo.;PH 9315
2022-05-12;;1;C22058;SN 442108504518No enciende la pantalla y no fucniona. Ha probrado, con Pablo a resetear y conectar en otro enchufe pero nada.;PH 9410
2022-05-13;;1;C22059;SN 320041AY30000261pois não dá qualquer sinal de ligada, não está a funcionar;PH 7266
2022-05-17;08-N/22-01001;1;B22032;da los colores mal, está dañado el cable, con otro cable se ve bien;AK 3632
2022-05-23;04-M/21-00369;1;C22060;No funciona;LOG S120-OEM
2022-05-23;04-M/21-00439;1;C22060;No fuenciona;YUA 109
2022-05-23;;1;C22061;SN 300131AY300000026;PH 9220
2022-05-27;08-N/22-00053;1;B22030;fallan;ACN240
2022-05-25;;1;C22062;SN 442108504232Salta la luz cuando se conecta a corriente;PH 9410
2022-05-25;;1;C22064;SN 342104504503No enciende.;PH 9485
2022-05-26;;1;C22066;SN 83122112500701cuando se desconecta de la corriente no hace nada;PH 8010
2022-05-27;;1;C22067;SN 3200460z30000111No funciona. Enciende y se apaga y no da corriente.;PH 7322
2022-05-27;08-N/22-00847;1;B22030;no funciona;AH0210D
2022-05-27;08-N/22-00053;1;B22030;no funciona;AM3012D
2022-05-30;;1;C22068;SN 3001230Z30000055No hace nada. Ni enciende.;PH 9230
2022-06-02;;1;C22070;SN 300131AY30000119La batería no aguanta nada y al encenderlo hay que apretar bien el conector de corriente.;PH 9220
2022-06-07;;1;C22071;SN 8392201100224 Error 01. Error en baterías.;PH 9270
2022-06-08;08-N/21-00810;1;B22034;Se encienden varias luces fijas al medir, no mide bien.;LB 0256
2022-06-08;;1;C22072;SN 442210850448 No enciende.;PH 9410
2022-06-09;;1;C22073;SN 3200450Z3000186En la pantalla no sale nada y el sai no se apaga en el botón.;PH 7315
2022-06-10;;1;C22074;SN 3200420Z30000218El sai no enciende;PH 7288
2022-06-14;;1;C22075;SN 241912545959No aguanta ni un minuto.;PH 9406
2022-06-14;;1;C22077;SN 83622108100271Se apaga y enciendo solo. No da tensión a la baterías ni a la carga;PH 9260
2022-06-15;;1;C22076;SN 300130AY30000055No funciona usb y no se detecta en ningun equipo en los que ha probado.;PH 9210
2022-06-21;;1;C22078;SN 300132AS30000096No arranca. Pantalla led en negro;PH 9230
2022-06-21;;1;C22079;SN 341912507735no enciende;PH 9485
2022-06-21;;1;C22080;sn 3200449z30000189Tras un tiempo en funcionamiento el SAI corta la corriente al servidor y puede leerse en la pantalla: P40 ademas deescucharse un pitido constante;PH 7312
2022-06-21;;1;C22080;SN 3001300n30000053El servidor se reinicia por falla de la alimentación sin embargo no vemos ninguna anomalía en el SAI (descartadoproblema del servidor, se le ha cambiado la fuente y sigue ocurriendo lo mismo);PH 9210
2022-06-23;03-N/20-00228;1;B22037;falla el equipo, nos envia factura de cliente final, para reparar;PH 9485
2022-06-23;;1;C22081;SN 341912507353NO ENCIENDE;PH 9408
2022-06-23;;1;C22082;SN 3200539V30000040Da fallo A06 pero ocurre aleatoriamente.;PH 7610
2022-06-27;08-N/22-01142;1;B22038;La fuente de alimentación no funciona. La hemos probado en 2 equipos diferentes. no le llegó a funcionar nunca;TK 0302
2022-06-27;;1;C22083;SN 3001320S30000053NO FUNCIONA;PH 9230
2022-06-28;;1;C22084;SN 83622108100268Tras realizar la conexión del SAI nuevo, pero a la hora de encenderlo nos reporta todo el rato "Batería desconectada";PH 9260
2022-06-30;;1;C22085;SN 342107503863Despues de funcionar por unos 60 minutos, la pantalla se quedó en blanco totalmente encendida y lleva así ya mas de 24 horas. Al pulsar el botón no hace nada.;PH 9485
2022-06-30;08-N/22-00344;1;B22039;no dispara al pulsar;AM2113D
2022-07-08;;1;C22086;SN 3200459Z30000104No aguanta cortes.;PH 7315
2022-07-11;;1;C22087;SN 3001309U30000017No aguantan las baterías, cuando se conecta no para de pitar.;PH 9210
2022-07-12;08-N/22-01932;1;B22040;no funcinoa no hay conexion;PP 1075
2022-07-12;;1;C22089;SN 341912503736Se calentó en exceso y desprendió humo. Casi sale ardiendo. La batería tmapoco aguantaba la torre encendida.;PH 9485
2022-07-15;;1;C22090;SN 342112500797 No enciende.;PH 9485
2022-07-19;04-M/20-00733;1;C22092;SN 83922005100003 Battery Fault.;PH 9270
2022-07-20;;1;C22093;SN 241912527946Al irse la corriente se apaga solo y a veces encendido se apaga solo.;PH 9406
2022-07-20;08-N/22-01986;1;B22041;No arranca el SAI, detecta la corriente de entrada a 140 o 150V y la frecuencia de la corriente de entrada entr 9 Hz y 90 Hz va variando. No da corriente de salida y reporta error de Tension de entrada. Se prueba en varios sitios y confirma 230V;AB 2570
2022-07-22;;1;C22094;SN 320041AW300000761Al conectar a la corriente suena un ruido raro todo el rato.;PH 7266
2022-07-25;08-N/21-03001;1;B22042;da fallos puntuales, no funciona, da errores;KG 4450
2022-07-26;;1;C22095;SN 83222012100257Aguanta muy poco el sistema al que está conectado. La pantalla pone que aguanta´ra unos 50 min y a los 2 se apaga. Al poerle a cargar empieza de cero pero a los 2 min pone que está completa.;PH 9315
2022-07-28;;1;C22096;Daba error el PH 9270, se cambió pero es el banco el que está mal. Enviar uno nuevo;PH 9268
2022-07-28;;1;C22097;SN 320041BN30000041Ha empezado a pitar, y cortar la alimentacion incluso habiendo corriente.;PH 7266
2022-08-01;;1;C22098;SN 83322204500975Nada mas encender le ha saltado el magnetotérmico.;PH 8030
2022-08-02;;1;C22099;SN 442112501061Error F04;PH 9410
2022-08-02;;1;C22100;SN 3200438Q30000071cuando hay un corte, se apaga.;PH 7210
2022-08-03;;1;C22101;SN 300131AY30000074marca error de batería (batt.fault).;PH 9220
2022-08-04;;1;C22102;SN 300131AY30000074Indica error de batería;PH 9220
2022-08-04;08-N/22-01539;1;B22043;estropeada y dañada;XIG 0132
2022-08-12;;1;C22104;SN 83322203100724Al sacarlo de la caja el sai está doblado.;PH 9330
2022-08-11;;1;C22103;SN 3200419Z30000051Tiene un pitido constante y no da salida.;PH 7266
2022-08-22;;1;C22105;SN 3200438Q30000178Cuando se va la corriente el SAI se apaga, no entra en funcionamiento la batería;PH 9210
2022-08-22;;1;C22106;SN 342010505818No funciona.;PH 9408
2022-08-25;;1;C22107;SN 83922104100567Mal funcionamiento. Código de Error 11.;PH 9270
2022-08-30;;1;C22108;SN 342112501019NO FUNCIONAN LAS BATERIAS.;PH 9408
2022-08-30;08-N/22-02072;1;B22044;dañada, nos manda tito enviar una nueva y recoger cuando la tenga fuera;PH 9100
2022-08-30;08-N/22-02326;1;C22109;la hemos colocado no funcionaba, la hemos comprobado con un comprobador, cargador, reacondicionador, y en todos los casos nos la presenta como batería rota.   1 unidad, Batería Yuasa NPW45-12 plomo-acido 12V 9 Amp.Hemos comprobado el resto y están Ok. ;YUA 109
2022-09-07;;1;C22110;SN 83322101502864 Mensaje de baterías desconectada. El cliente ha abierto el sai y comprobado las conexsiones y están bien.;PH 8030
2022-09-09;1191;1;L22003;no enciende según el cliente;PH 9404
2022-09-09;;1;C22111;SN 320044BN30000056El problema es que la batería no dura nada. Conectamos un monitor por ejemplo, quitamos la corriente y el SAI tarda 5 segundos en apagarse.;PH 7312
2022-09-13;;1;C22112;SN 300130AY30000009Fallo 56;PH 9210
2022-09-14;;1;C22113;SN 85222011600484Tiene dos PH 9293 en paralelo y este ha empezado a dar error 74 R INV IGBT fault y error 71 R PFC IGBT fault.Hay que repararlo como sea ya que sino habría que recoger tamibén el que funciona para que actúen en paralelo.;PH 9293
2022-09-19;;1;C22114;SN 300131AS30000047No comunica a través del puerto USB;PH 9220
2022-09-19;;1;C22115;SN 342112500622Al conectarlo por primera vez no funciona. Se queda iluminada la pantalla, pero esta en blanco.;PH 9485
2022-09-19;;1;C22116;SN 320042AN30000050El equipo algunas veces enciende, otras no, a veces se enciende solo y empieza a pitar continuamente, no da salida de energia por los enchufes.;PH 7288
2022-09-20;08-N/22-01054;1;B22046;la camara se ve bien por la imagen se ve con vibraciones, cambiado cable y sigue igual, le paso igual en otro instalacion;CAM 722
2022-09-20;;1;L22004;El cliente no quiere el material, le llegó el día 14 en lugar del día 12.;HDD 1002
2022-09-22;;1;C22117;SN 742203500231Tiene un ruido al conectar el SAI a la fuente de energia. Parece ser que es un sonido del relay. envío video con sonido a info@phasak.com 22/09/2022 // 12:15 hrs;PH 9420
2022-09-23;;1;L22005;Parece ser que es incompatible con su soft;PH 9420
2022-09-26;;1;C22118;SN 341812508757Ni siquiera enciende.;PH 9475
2022-09-27;;1;C22119;SN 3001309Z30000228No tiene tensión en la salida.;PH 9210
2022-09-29;;1;C22120;SNError 14. ;PH 9260
2022-09-30;08-N/22-00600;1;C22121;Falla la señal Tx. Se ha probado con otra tarjeta y esta si funciona.;LH 9235
2022-10-03;;1;C22122;SN 5605922015023Ha dejado de funcionar por completo.;PH 9410
2022-10-04;08-N/22-01054;1;B22046;estropeado;AB 7965
2022-10-05;;1;C22123;SN 83622012100221La batería no carga mas del 25%;PH 9260
2022-10-05;;1;C22124;SN 342108506355No enciende.;PH 9406
2022-10-05;;1;C22125;SN341812508757No fucniona;PH 9475
2022-10-06;;1;C22126;SN 83622206100152Compramos 2 unidades de dicho producto y cuando conectamos el primero a corriente, tira el diferencial. Ponemos el segundo igualmente en las mismas condiciones y cunciona perfectamente.;PH 9260
2022-10-07;;1;C22127;SN 341912507789No mantiene el equpo encendido;PH 9485
2022-10-10;;1;C22128;SN 742112500591Fallo de sobrecarga con poca carga. Exceso de temperatura;PH 9420
2022-10-11;04-M/22-00669;1;C22129;SN 442206513654Ha llegado una unidad con la caja dañada;PH 9410
2022-10-13;08-I/21-00017;1;B22049;no enciende;LD 3660
2022-10-13;08-I/21-00017;1;B22049;no funciona;LD 3440
2022-10-13;08-N/22-01869;1;C22130;No le sirve para nuestros conectores SD 3019. No hay stock para comprobarlo;PA 3425
2022-10-13;;1;C22131;SN 742004509908Hace un ruido eléctrico muy molesto incluso apagado.;PH 9420
2022-10-14;;1;C22132;SN 342204509546No hay corriente en las tomas de salida. La bateria sale como cargada, el SAI esta enchufado a la corriente desde hace horas, esta encendido y marca el voltaje de salida correcto, pero no da salida.El SAI no se ha podido vender a ningun cliente por este motivo.;PH 9485
2022-10-17;08-N/21-03039;1;B22050;no funciona;ACN425D
2022-10-17;08-N/22-00469;1;B22050;no funciona;AG0116D
2022-10-17;08-N/21-00843;1;B22050;no funciona;AR2063
2022-10-17;08-N/22-02228;1;B22050;no funciona;LDVIAL36
2022-10-18;08-N/22-01254;1;C22133;No carga. Se queda en rojo intermitente. Probado con varios cargadores.15-11-2022 - La batería que se le envió  sigue igual. No carga;PEC 012
2022-10-18;;1;C22134;SN 83622107100336Tenemos un Sai Phasak PH 9260, con nº serie: 83622107100336. Se compraron con él, un banco de baterías. El problema es que este SAI se está reiniciando solo o directamente hay momentos en que se apaga. De momento lo hemos sustituido por otro (un modelo de Salicru) para que no deje al cliente sin servicio y está funcionando perfectamente, no ha tenido más problemas.(Tratado con vosotros mediante intercambio de emails desde el 05/09);PH 9260
2022-10-19;08-N/22-01391;1;B22051;en el centro de la imagen sale un recuadro negro;AJ 0100
2022-10-19;604;1;L22007;AL CLIENTE NO LE FUNCIONA ;CE100-AT-G
2022-10-20;;1;C22135;SN 341812508649LO ENCHUFAS A CORRIENTE, PULSAS EL BOTÓN DE ENCENDIDO Y NO ENCIENDE;PH 9475
2022-10-20;;1;C22136;SN 341912507929No funciona.;PH 9485
2022-10-20;08-N/22-02633;1;C22133;No carga, se enciende led pero no aparece nada en pantalla.;PEC 200
2022-10-24;;1;C22137;SN 300131BN30000009Ha dejado de funcionar. No hace nada.;PH 9220
2022-10-24;;1;L22008;Lo puse a cargar 6,5 horas y despues hice la conexion y parace que la bateria no se carga o esta estropeada, ya que se puso a pitar y se corto la corriente.;PH 9406
2022-10-25;;1;C22138;SN 742203500069Cuando lo conectamos a la toma de corriente del domicilio del cliente, saltaron los plomos de la oficina y se oyó un fuerte olor a quemado.El SAI està inserbible y no ha funcionado en ningun momento.;PH 9420
2022-10-25;;1;C22139;SN 3200440X30000054Se enchufa y la pantalla parpadea y existe un cortocircuito.;PH 7312
2022-10-26;;1;C22140;SN 442010519415El UPS presenta un problema por el cual la capacidad de la batería no se carga, a pesar de indicar un 100% de batería. Con dos aparatos conectados, 1 monitor pequeño y un pc de bajo consumo, al irse la luz no aguanta ni 1 segundo arriba, se desconectan los aparatos de inmediato.;PH 9410
2022-10-28;;1;C22141;SN 320054AN30000066No funciona.;PH 7621
2022-10-28;;1;C22142;sn 342112500718No se enciende;PH 9485
2022-10-28;08-N/22-02917;1;B22054;es incompatible;UN 1010
2022-10-31;;1;C22144;SN 3001320Z30000041Ha dejado de funcionar de repente. El display no se enciende. No suena ventilador. No responde a los pulsadores.;PH 9230
2022-10-31;;1;C22144;SN 3001320S30000024El S.A.I. falla y deja de alimentar las cargas aguas abajo. El display tiene todos los segmentos encendidos. La alarma no deja de sonar. El S.A.I. recibe alimentación pero no carga la batería. El ventilador se enciende unos 3 segundos y se para unos 3 segundos de forma contínua. Los pulsadores no funcionan.;PH 9230
2022-10-31;;1;C22145;SN 342108506168NO LE AGUANTAN LAS BATERIAS;PH 9408
2022-10-31;;1;C22145;SN 342012503052NO LE AGUANTAN LAS BATERIAS;PH 9485
2022-11-03;;1;C22146;SN 342112500718No se enciende;PH 9485
2022-11-04;;1;B22055;del armario phc 6620, cuando la enchufa se corta la luz;BNS 1518
2022-11-07;;1;C22147;SN 320041BN30000341Pita continuamente, no carga la batería.;PH 7266
2022-11-07;1165;1;L22009;REVISION TECNICA;PH 7266
2022-11-08;;1;C22148;SN 3001310Z30000060El SAI (PH 9220) envía un error cod. 61 que según me dijeron desde el servicio técnico es fallo del cargador de baterías. Está en garantía.;PH 9220
2022-11-09;;1;C22149;SN 320041BN30000341Dejó de funcionar. Pita continuamente.;PH 7266
2022-11-14;;1;C22150;SN 3200420X30000441Ha dejado de funcionar cuando hay un corte de luz el sai no funciona por lo tanto el ordenador se apga.;PH 7288
2022-11-14;08-N/22-00201;1;B22056;1 X AURICULAR I9S TWS , NO CARGA UNO DE LOS CASCOS;SBV 1009
2022-11-14;08-N/22-00624;1;B22056;1 X CABLE CORRIENTE AC TREBOL , NO DA CORRIENTE;HM 5021
2022-11-14;08-N/20-01692;1;B22057;no funciona;PH 9485
2022-11-14;08-N/22-01700;1;B22052;CONECTOR RJ45 HEMBRA/HEMBRA PARA PATCH PANEL CAT.6AVERÍA. NO FUNCIONA;LB 3068
2022-11-14;08-N/22-02373;1;B22052;CABLE USB 3.0 A USB TIPO CAVERÍA: NO FUNCIONA;SB 3740
2022-11-14;08-N/22-01699;1;B22052;CABLE DISPLAYPORT MACHO A HDMI MACHO LANBERG 1.8MTSAVERÍA: NO FUNCIONA;LB 3902
2022-11-14;08-N/22-02375;1;B22052;ABLE ALIMENTACION MONITOR 2 M. M/H IEC ALARGADOR RED PCAVERÍA. NO FUNCIONA;HM 5046
2022-11-14;08-N/21-03026;1;B22052;CABLE DISPLAYPORT MACHO A VGA MACHO AVERÍA: NO FUNCIONA;GB 3221
2022-11-14;08-N/22-02375;1;B22052;CABLE USB TIPO A/B 3 METROS M/M GRIS/TRAN 2.0AVERÍA: NO FUNCIONA;SBR 2403
2022-11-18;743;1;L22010;Dice el cliente que no le funciona bien;NG 5323
2022-11-18;714;1;L22011;El cliente dice que no le funciona, para su analisis;PH 8030
2022-11-21;733;1;L22012;el cliente pedía un PHC y le hemos enviado un PHO, por no haber el PHC, y no lo quiere;PHC 2112
2022-11-21;1256;1;L22013;Dice el cliente que le ha dejado de funcionar;PH 7266
2022-11-22;08-N/22-03136;1;J22006;MATERIAL NO FUNCIONA;AB0463
2022-11-23;;1;C22151;SN 300132AS30000079No funciona desde el día 18/11/2022, es una estación de servicio y este inconveniente nos puede causar problemas técnicos de un coste muy elevado para la estación. Aparte de dejarnos sin suministro eléctrico y producirnos números perdidas en ventas.;PH 9230
2022-11-24;734;1;L22014;-El enrutador es completamente nuevo, pero cuando se conecta a la WAN no obtiene una conexión. Habiendo discutido por correo electrónico con ASUS, es probable que sea una unidad defectuosa.Ha ejecutado el wizard inicial que te pide para definires el tipo de WAN?Sí, todo se ha hecho y también con el soporte de ASUS. Nunca puedo obtener una dirección WAN, ya tengo un enrutador ASUS más antiguo que no tiene problemas, así que conozco todas las configuraciones, etc.;ASU 0080
2022-11-24;;1;C22152;SN 300131BV30000047El Sai no marca la carga, y aleatoriamente se pone en modo bypass;PH 9220
2022-11-24;08-N/22-01589;1;B22059;falla en las comprobaciones;DX 226
2022-11-28;;1;C22153;SN 83122204502566NOS LO ENCARGÓ UN CLIENTE. HACE MUCHO RUIDO EN FUNCIONAMIENTO, POR ALGUN VENTILADOR INTERNO. SOLICITAMOS ABONO. EL CLIENTE NOS PIDE DEVOLUCION DEL DINERO, YA QUE NO QUIERE OTRO IGUAL. MUCHAS GRACIAS. SALUDOS;PH 8010
2022-11-30;;1;C22154;SN 83922012100090UPS en bypass constante y las baterías no cargan.Se ha intentado que salga de bypass por todos los medios pero siempre vuelve a bypass.;PH 9270
2022-11-30;08-N/22-02826;1;B22060;no se detecta por onvif, es incompatible;CAM 943
